ymd,hour,spot_num,spot_nm,x,y,io1,io2
20160101,1,B-01,도봉로(도봉산역),203959,203959,3009,3863
20160101,1,B-01,도봉로(도봉산역),203959,203959,4591,5492
20160101,1,B-01,도봉로(도봉산역),203959,203959,8568,9036
20160101,1,B-01,도봉로(도봉산역),203959,203959,5541,5536
20160102,1,B-01,도봉로(도봉산역),203959,203959,1755,1975
20160102,1,B-01,도봉로(도봉산역),203959,203959,6236,7019
20160102,1,B-01,도봉로(도봉산역),203959,203959,9988,10198
20160102,1,B-01,도봉로(도봉산역),203959,203959,6283,6095
20160103,1,B-01,도봉로(도봉산역),203959,203959,2062,2461
20160103,1,B-01,도봉로(도봉산역),203959,203959,5031,5376
20160103,1,B-01,도봉로(도봉산역),203959,203959,8350,8871
20160103,1,B-01,도봉로(도봉산역),203959,203959,5212,5389
20160104,1,B-01,도봉로(도봉산역),203959,203959,1800,1921
20160104,1,B-01,도봉로(도봉산역),203959,203959,9573,10949
20160104,1,B-01,도봉로(도봉산역),203959,203959,9193,9014
20160104,1,B-01,도봉로(도봉산역),203959,203959,7611,7755
20160105,1,B-01,도봉로(도봉산역),203959,203959,2326,2559
20160105,1,B-01,도봉로(도봉산역),203959,203959,9134,10928
20160105,1,B-01,도봉로(도봉산역),203959,203959,9374,8952
20160105,1,B-01,도봉로(도봉산역),203959,203959,7524,7694
20160106,1,B-01,도봉로(도봉산역),203959,203959,2402,2567
20160106,1,B-01,도봉로(도봉산역),203959,203959,9247,10451
20160106,1,B-01,도봉로(도봉산역),203959,203959,9112,8814
20160106,1,B-01,도봉로(도봉산역),203959,203959,7568,7731
20160107,1,B-01,도봉로(도봉산역),203959,203959,2374,2609
20160107,1,B-01,도봉로(도봉산역),203959,203959,9481,10677
20160107,1,B-01,도봉로(도봉산역),203959,203959,9280,8888
20160107,1,B-01,도봉로(도봉산역),203959,203959,7568,7799
20160108,1,B-01,도봉로(도봉산역),203959,203959,2525,2736
20160108,1,B-01,도봉로(도봉산역),203959,203959,8834,9678
20160108,1,B-01,도봉로(도봉산역),203959,203959,9277,8839
20160108,1,B-01,도봉로(도봉산역),203959,203959,8304,8180
20160109,1,B-01,도봉로(도봉산역),203959,203959,2928,3147
20160109,1,B-01,도봉로(도봉산역),203959,203959,7661,8332
20160109,1,B-01,도봉로(도봉산역),203959,203959,10230,10022
20160109,1,B-01,도봉로(도봉산역),203959,203959,6693,7050
20160110,1,B-01,도봉로(도봉산역),203959,203959,2327,2688
20160110,1,B-01,도봉로(도봉산역),203959,203959,5525,6006
20160110,1,B-01,도봉로(도봉산역),203959,203959,8574,9077
20160110,1,B-01,도봉로(도봉산역),203959,203959,5311,5419
20160111,1,B-01,도봉로(도봉산역),203959,203959,1673,1834
20160111,1,B-01,도봉로(도봉산역),203959,203959,9706,10803
20160111,1,B-01,도봉로(도봉산역),203959,203959,9167,9074
20160111,1,B-01,도봉로(도봉산역),203959,203959,7329,7646
20160112,1,B-01,도봉로(도봉산역),203959,203959,2179,2467
20160112,1,B-01,도봉로(도봉산역),203959,203959,9261,10565
20160112,1,B-01,도봉로(도봉산역),203959,203959,9268,8864
20160112,1,B-01,도봉로(도봉산역),203959,203959,7482,7719
20160113,1,B-01,도봉로(도봉산역),203959,203959,2297,2483
20160113,1,B-01,도봉로(도봉산역),203959,203959,9232,10377
20160113,1,B-01,도봉로(도봉산역),203959,203959,9108,8904
20160113,1,B-01,도봉로(도봉산역),203959,203959,7342,7547
20160114,1,B-01,도봉로(도봉산역),203959,203959,2391,2586
20160114,1,B-01,도봉로(도봉산역),203959,203959,9200,10354
20160114,1,B-01,도봉로(도봉산역),203959,203959,9201,8846
20160114,1,B-01,도봉로(도봉산역),203959,203959,7885,7726
20160115,1,B-01,도봉로(도봉산역),203959,203959,2331,2634
20160115,1,B-01,도봉로(도봉산역),203959,203959,9468,10611
20160115,1,B-01,도봉로(도봉산역),203959,203959,9367,9008
20160115,1,B-01,도봉로(도봉산역),203959,203959,8445,8365
20160116,1,B-01,도봉로(도봉산역),203959,203959,2706,2962
20160116,1,B-01,도봉로(도봉산역),203959,203959,7834,8215
20160116,1,B-01,도봉로(도봉산역),203959,203959,10196,10201
20160116,1,B-01,도봉로(도봉산역),203959,203959,6613,6859
20160117,1,B-01,도봉로(도봉산역),203959,203959,2323,2620
20160117,1,B-01,도봉로(도봉산역),203959,203959,5600,5878
20160117,1,B-01,도봉로(도봉산역),203959,203959,8768,9003
20160117,1,B-01,도봉로(도봉산역),203959,203959,5338,5565
20160118,1,B-01,도봉로(도봉산역),203959,203959,1690,1874
20160118,1,B-01,도봉로(도봉산역),203959,203959,9539,10350
20160118,1,B-01,도봉로(도봉산역),203959,203959,9148,9260
20160118,1,B-01,도봉로(도봉산역),203959,203959,7557,7622
20160119,1,B-01,도봉로(도봉산역),203959,203959,2145,2311
20160119,1,B-01,도봉로(도봉산역),203959,203959,9276,10482
20160119,1,B-01,도봉로(도봉산역),203959,203959,9239,8796
20160119,1,B-01,도봉로(도봉산역),203959,203959,7503,7794
20160120,1,B-01,도봉로(도봉산역),203959,203959,2129,2301
20160120,1,B-01,도봉로(도봉산역),203959,203959,9266,10333
20160120,1,B-01,도봉로(도봉산역),203959,203959,9028,8892
20160120,1,B-01,도봉로(도봉산역),203959,203959,7535,7899
20160121,1,B-01,도봉로(도봉산역),203959,203959,2287,2555
20160121,1,B-01,도봉로(도봉산역),203959,203959,9345,10539
20160121,1,B-01,도봉로(도봉산역),203959,203959,9365,8947
